2.298 1 IMU_ACCEL_RAW 20 -71 -2103
2.301 1 IMU_GYRO_RAW -14 8 -13
2.305 1 IMU_MAG_RAW 4096 963 -4096
2.306 1 DL_VALUE 6 100.
2.332 1 IMU_ACCEL_RAW 19 -73 -2102
2.335 1 IMU_GYRO_RAW -13 6 -13
2.339 1 IMU_MAG_RAW 4096 1157 -4096
2.355 1 ADC_GENERIC 2040 1694
2.382 1 IMU_ACCEL_RAW 16 -74 -2100
2.385 1 IMU_GYRO_RAW -13 6 -12
2.388 1 IMU_MAG_RAW 4096 731 -4096
2.549 1 IMU_ACCEL_RAW 17 -79 -2106
2.552 1 IMU_GYRO_RAW -14 6 -12
2.911 1 IMU_MAG_RAW 4096 466 -4096
2.912 1 SYS_MON 16666 6099 5381 6842 1509 36
2.912 1 IMU_ACCEL_RAW 16 -77 -2098
2.912 1 IMU_GYRO_RAW -13 6 -12
2.912 1 IMU_MAG_RAW 4096 1123 -4096
2.913 1 NAVIGATION 0 2 0. 0. 0. 0. 0 0
2.913 1 IMU_ACCEL_RAW 21 -77 -2098
2.913 1 IMU_GYRO_RAW -13 6 -12
2.913 1 IMU_MAG_RAW 4096 661 -4096
2.913 1 IMU_ACCEL_RAW 16 -76 -2099
2.913 1 IMU_GYRO_RAW -13 8 -12
2.914 1 IMU_MAG_RAW 4096 1077 -4096
2.914 1 ADC_GENERIC 2039 1694
2.914 1 IMU_ACCEL_RAW 21 -79 -2107
2.914 1 IMU_GYRO_RAW -14 6 -13
2.914 1 IMU_MAG_RAW 4096 508 -4096
2.914 1 IMU_ACCEL_RAW 19 -73 -2102
2.914 1 IMU_GYRO_RAW -13 8 -11
2.914 1 IMU_MAG_RAW 4096 676 -4096
2.914 1 IMU_ACCEL_RAW 15 -78 -2101
2.914 1 IMU_GYRO_RAW -13 6 -13
2.915 1 IMU_MAG_RAW 4096 974 -4096
2.915 1 NAVIGATION 0 2 0. 0. 0. 0. 0 0
2.915 1 IMU_ACCEL_RAW 20 -78 -2106
2.915 1 IMU_GYRO_RAW -14 6 -13
2.915 1 IMU_MAG_RAW 4096 775 -4096
2.915 1 DL_VALUE 7 2.
2.915 1 IMU_ACCEL_RAW 17 -75 -2109
2.915 1 IMU_GYRO_RAW -13 8 -12
2.915 1 IMU_MAG_RAW 4096 901 -4096
2.915 1 ADC_GENERIC 2041 1694
2.915 1 IMU_ACCEL_RAW 14 -77 -2100
2.916 1 IMU_GYRO_RAW -15 6 -12
2.916 1 IMU_MAG_RAW 4096 702 -4096
2.930 1 IMU_ACCEL_RAW 19 -75 -2096
2.933 1 DOWNLINK_STATUS 3 6241 351 1 1259. 71. 0.
2.934 1 IMU_GYRO_RAW -13 6 -11
2.937 1 IMU_MAG_RAW 4096 1109 -4096
2.981 1 IMU_ACCEL_RAW 19 -72 -2103
2.984 1 IMU_GYRO_RAW -13 6 -13
2.987 1 IMU_MAG_RAW 4096 1247 -4096
3.044 1 NAVIGATION 0 2 0. 0. 0. 0. 0 0
3.048 1 IMU_ACCEL_RAW 15 -72 -2101
3.051 1 IMU_GYRO_RAW -13 6 -12
3.054 1 IMU_MAG_RAW 4096 657 -4096
3.085 1 IMU_ACCEL_RAW 16 -75 -2108
3.087 1 IMU_GYRO_RAW -13 6 -12
3.090 1 IMU_MAG_RAW 4096 1068 -4096
3.103 1 ADC_GENERIC 2040 1694
3.132 1 IMU_ACCEL_RAW 17 -80 -2105
3.135 1 IMU_GYRO_RAW -14 6 -12
3.138 1 IMU_MAG_RAW 4096 999 -4096
3.182 1 IMU_ACCEL_RAW 20 -78 -2103
3.185 1 IMU_GYRO_RAW -13 6 -12
3.188 1 IMU_MAG_RAW 4096 717 -4096
3.232 1 IMU_ACCEL_RAW 19 -80 -2100
3.235 1 IMU_GYRO_RAW -14 6 -12
3.238 1 IMU_MAG_RAW 4096 781 -4096
3.292 1 NAVIGATION 0 2 0. 0. 0. 0. 0 0
3.296 1 IMU_ACCEL_RAW 18 -76 -2101
3.298 1 IMU_GYRO_RAW -14 6 -11
3.301 1 IMU_MAG_RAW 4096 536 -4096
3.304 1 DL_VALUE 8 0.
3.331 1 IMU_ACCEL_RAW 20 -68 -2104
3.334 1 IMU_GYRO_RAW -12 8 -12
3.337 1 IMU_MAG_RAW 4096 556 -4096
3.354 1 ADC_GENERIC 2039 1695
3.380 1 IMU_ACCEL_RAW 13 -76 -2107
3.384 1 IMU_GYRO_RAW -13 6 -12
3.387 1 IMU_MAG_RAW 4096 742 -4096
3.432 1 IMU_ACCEL_RAW 20 -69 -2113
3.435 1 IMU_GYRO_RAW -13 6 -12
3.438 1 IMU_MAG_RAW 4096 800 -4096
